Owner,Repo,Average Commit Count
schakko,hackcamp-xtext-automotivebus,null
sfinnie,xtext.scoping.adventures,null
jpaw,bonaparte-apidsl,null
rainerschuster,yacc-ide,null
schakko,xtext-bug-436688,null
dhuebner,xtext-builddsl-tycho,null
matejsp,lwc13-xtext,null
ftrifin,xtext-utils.uml,null
mbarbero,xtext-forms-integration,null
FForw4rd,xtext-restriction-framework,null
zrrk,xtext-utils.devenv,null
ftrifin,xtext-utils.xtend,null
svenefftinge,xtext-jaxcon-example,null
LorenzoBettini,xtext-demo-laquila,null
jakecobb,xtext-iris-datalog,null
Huluvu424242,rezept-dsl.xtext,null
philiber92,xtext-utils.unittesting,null
philiber92,xtext-utils.distribution,null
phaldan,htwg-cform-xtext,null
itemis,xtext-example-conplan,null
LorenzoBettini,Xtext-Buckminster-Example,null
LorenzoBettini,xtextcon-typesystem-example,null
dhuebner,org.xtext.example.tycho,null
agentlab,eclipse-orbit_xtext-web,null
Tutti91,xtext_language_bla,null
LeonoraG,xtext-req-editor,null
xarvey,atom-xtext-autocomplete,null
franzbecker,xtext-formatter-problem,null
ftrifin,xtext-utils.distribution,null
Fritzi,XText_TeSSLa,null
madasar,booster2-xtext,null
TypeFox,xtext-splitted-repo,null
zrrk,xtext-utils.uml,null
zrrk,xtext-utils.xtend,null
ftrifin,xtext-forms-integration,null
JanKoehnlein,fxdiagram-xtext-examples,null
ubx,openair,null
rju,xtext-typing-example,null
philiber92,xtext-utils.xtend,null
Advanced-Model-Engineering-SS16,xtext-ocl-extensions,null
zrrk,xtext-utils.distribution,null
Johanvdberg,mcrl2.xtext,null
kryptonite22,rsbac.xtext.dsl,null
tkleszczynski,jug-zgora-xtext,null
philiber92,xtext-utils.devenv,null
jeffmaury,devoxx2012-xtext,null
YonedaMasashi,xText_Practice,null
jackqq,xTextEdit,null
ftrifin,xtext-utils.unittesting,null
lgcardeas,xtext-forms-integration,null
vrichard12,xtext-forms-integration,null
itemis,xtext-monaco-example,null
pabu90,xtext-ci-test,null
EricssonPlant,plantuml-xtext-light,null
zrrk,xtext-utils.unittesting,null
LorenzoBettini,xtext-index-experiments,null
ftrifin,xtext-utils.devenv,null
inteldict,xtext-gradle-demo,null
cdietrich,xtext-multi-dsl,null
hachreak,dmss.pouex.xtext,null
lunifera,lunifera-xtext-runtimebuilder,null
sikessle,xtext-forms-integration,null
priya0311,xtext-forms-integration,null
philiber92,xtext-utils.uml,null
talalong,dbFactoryXtext,null
stackoverflowmailer,lwc13-xtext,null
willy2706,if4150-xtext,null
wwu-pi,acse-xtext-validation,null
ProgrammableDrones,xTextLanguage,null
stefano-bragaglia,Kinect-ECE-XText,null
wwu-pi,acse-xtext-gui,null
peterssas,xtext-gradle-problem,null
zhoumin03,xtext-forms-integration,null
gcubar,CodeXcessXtext,null
cdietrich,xtext-ecore-xcore,null
ayoubziat,xtext_DSL_example,null
xiaoyvr,xtext-demo-oxygen,null
test-editor,deprecated-xtext-index-backend,null
kuniss,Aqua,null
npalix,org.eclipse.xtext.example.fowlerdsl,null
dslmeinte,xtext-workshop-code1,null
chauhansaurabhb,Eclipse-Xtext-Mydsl-Plugin,null
oyse,jetson,null
zwgirl,summer,null
rymarenkosuccess,Coffeescript-Eclipse,null
felipedf,compiler,null
logicfish,XPlane,null
LorenzoBettini,Xtext-Xtend-Buckminster-Example,null
vorburger,eclipse-typescript-xtext-repository,null
pankeshpatel,EclipsePluginForXtext,null
Hellmy,plantuml-eclipse-xtext_update,null
xpomul,xtext-multi-edit-example,null
tmtron,xtext.eclipse.15minExtended,null
deb-sandeep,com.sandy.xtext.jovenotes.ui,null
ftrifin,xtext-utils.xtend1,null
szarnekow,xtext-arithmetics-web-example,null
wwu-pi,acse-xtext-knuth-binaries,null
jwachter,xtext-serializer-issue-example,null
DemidovAlexander,Xtext_MiniJava_IDE,null
camilagarcia113,xtext-dsl-obj3,null
cdietrich,gradle-xtext-xtend-problem,null
uqbar-paco,firewall-dsls-externos-xtext,null
svenefftinge,Xtext-LWC-contribution--Instances-,null
rainerschuster,eclipse-webidl,null
willy2706,if4150-xtext-html,null
phaldan,htwg-cform-xtext-demo,null
hypery2k,Xtext-GrammarMixin-Example,null
philiber92,xtext-utils.subproject-template,null
zrrk,xtext-utils.subproject-template,null
thowin,ituXtextLandinConfigurator,null
philiber92,xtext-utils.xtend1,null
claudenirmf,old-tests-on-xtext,null
zouhairireda,xtext-ocl-xtend-poc,null
franzbecker,xtext-serializer-parallel-problem,null
lunifera,lunifera-xtext-runtimebuilder-example,null
ftrifin,xtext-utils.subproject-template,null
fluxtah,xtext-android-gradle-example,null
hypery2k,Xtext-Maven-BuildExample,null
kittaakos,xtext-eclipse-gh-238,null
MatzeGIT,XText-Maven-CleanStart,null
Rodolfocostapr,org.xtext.example.pascalito,null
deb-sandeep,JoveNotesProcessor,null
zrrk,xtext-utils.xtend1,null
tanthingdeveloper3unshine,AutoCompleteXTextView,null
loradd,uml-xtext-grammar-generator,null
RobertWalter83,DialogScriptDSL,null
vicegd,org.xtext.dsl.restaurante,null
paulluap,xtext-extras-issue216,null
dhakehurst,net.akehurst.example.xtext.vertx,null
alvilgau,de.htwg.xtext.setGame,null
nittka,Xarchive,null
rdurelli,com.br.refactoring.xtext.dsl,null
tmtron,xtext.15minTutorial.project,null
agentlab,eclipse-orbit_xtext-web-dsls,null
threadedblue,org.eclipse.xtext.example.domainmodel,null
cdietrich,xtext-existing-metamodel-gradle-example,null
wrungel,tycho.xtext.mwe2.test,null
Scholvac,EclipseTaskJuggler,null
ftmdida,xtext_code_gen_version_2,null
alexwatts,xtext-j2ee-dsl,null
cdietrich,xtext-gradle-plugin-issue-60,null
thowin,ituXtextLandin2Configurator,null
jkouwer,basicfamily,null
goldschmiede,2011-02-18_xtext_apache_wicket,null
nileshrege,El,null
deparlak,de.htwg.mdsd.xtext.portals,null
shashwatanand,org.shashwat.xtext.smallJava,null
mmalohlava,gpp-for-xtext-master-thesis,null
dexz92,Integrating-Xtext-and-JavaRAG,null
Rodolfocostapr,org.xtext.example.pascalitoOld,null
KasperGam,IGESImport,null
fuinorg,xsample,null
florianpirchner,beantypes,null
cdietrich,xtext-gradle-plugin-issue-61,null
rdurelli,com.br.refactoring.xtext.dsl.ui,null
threadedblue,org.eclipse.xtext.example.domainmodel.tests,null
rdurelli,com.br.refactoring.xtext.dsl.tests,null
shashwatanand,org.shashwat.xtext.smallJava.ui,null
tmtron,xtext.eclipse.15minExtended.project,null
chqu1012,MetroUiDescriper,null
rainerschuster,sygus-ide,null
jacruzca,xtext-multilanguage-multiple-target-impl-reuse,null
qscdfg,mybash,null
eirikg,XbaseSiriusIntegration,null
nohum,android-code-generation,null
gvd,zest-sm,null
uqbar-paco,declaratividad-orm-java,null
shashwatanand,org.shashwat.xtext.smallJava.tests,null
dhakehurst,net.akehurst.example.xtext.vertx.lsp,null
vztpv,ClauTextWithEclipse,null
goldschmiede,2011-04-29_xtext_service_repository,null
markusvoelter,DSLEngBook-Xtext-P3Demo,null
ESIR2Compilation,PrettyPrinter,null
bmael,MVCLang,null
zhou-jg,tefler,null
bogdanvuk,xvhdl,null
marcotinacci,XTuring,null
threadedblue,org.eclipse.xtext.example.domainmodel.ui,null
joergreichert,OperationsResearch,null
tommyettinger,julepp,null
masters-info-nantes,SmokingText,null
daniel-laszlo,temalabor,null
Communote,communote-restws,null
vorburger,FormGeneratorPOC,null
nittka,pocesl,null
logicfish,POMText,null
cdietrich,https---github.com-meysholdt-xtext_stateful_lexer,null
bogdanvuk,xrst,null
meysholdt,performance_probes,null
agentlab,PowerLoomDSL,null
rainerschuster,jdl-ide,null
JoostvanPinxten,SDF3-editor,null
ceefour,emf-sandbox,null
Mehdi23,FlexoModelingLanguage,null
atanaka,experimental-rmodp-dsl,null
leolimasa,reqlang,null
smba,model-based-times,null
DavidFosterLuhmann,high-dim,null
test-editor,deprecated-test-editor-index-backend,null
sidz8690,EasyUnit,null
lsotnk,lsotnk.xbase.launching,null
Tim-S,ReqLNG,null
helunwencser,PAOC,null
nakul02,sysml.dml,null
rainerschuster,tlsf-ide,null
rainerschuster,asdl-ide,null
N0P0x90,EclipseExamples,null
martinmuellenberg,cityplanning,null
newdigate,soa-dsl-scaffolding,null
evansnicholas,yaxpath,null
nittka,ASP,null
josros,boby,null
danhaywood,kemble,null
schakko,bsc-thesis-documentation,null
szarnekow,mongoBeans,null
timeraider4u,external_jar_download,null
Buggaboo,xplatform,null
jonathankoehn,entitygenerator,null
marcusphi,polopoly-dsl,null
alexisfacques,dsl-feature-modelling,null
sbrocard,statemachine-generator,null
JPL-IMCE,gov.nasa.jpl.imce.oml.core,null
PuneetPatwari,system-map-maker,null
atanaka,DomainmodelWithCrossReference,null
cedricvidal,protobuf4e,null
rowlo,testdsl,null
joergreichert,Cool,null
WesleyMarques,CompiladorJava,null
tommyettinger,kobold,null
stolorz,RankPL-EclipsePlugin,null
UnibgInfo3A,ebnfworkbench,null
sergiowebo,RaspduinoDSL,null
Remypoc,CmooSimpleJ,null
majordomo,majordomo,null
ryanignatius,CheckerDSL,null
raynair,webml,null
arbennett,ParserGeneratorExample,null
OElabed,Model-Driven-Engineering--Eclipse-RCP-plugin--Software-product-line,null
renaudhelias,MameVHDL,null
cwiscount,mydsl-emf-gen,null
rmuecke,clinicaltrialcreator,null
mythicfreak,aomxsgrammar,null
diverse-project,melange-studio,null
marcotinacci,Event-Oriented-Language,null
ksza,Bicycle-Shop,null
marcotinacci,SwarmRobotics,null
Padmar1995,gh,null
